               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/angry_mAP, metrics/disgust_mAP,    metrics/fear_mAP,   metrics/happy_mAP, metrics/neutral_mAP,     metrics/sad_mAP,metrics/surprise_mAP,metrics/angry_mAP_50,metrics/disgust_mAP_50, metrics/fear_mAP_50,metrics/happy_mAP_50,metrics/neutral_mAP_50,  metrics/sad_mAP_50,metrics/surprise_mAP_50
                  33,            0.016778,            0.021082,            0.026973,             0.50475,             0.66809,              0.5941,             0.43965,            0.022249,            0.013674,            0.031274,            0.003664,            0.003664,            0.003664,             0.43539,             0.43965,             0.48947,             0.58791,             0.30513,             0.33731,             0.48267,             0.60266,              0.5941,              0.7043,              0.8558,             0.43776,             0.48144,             0.48267
                  34,            0.016658,            0.022153,            0.026885,             0.60299,               0.636,             0.64434,             0.48187,            0.022499,            0.013511,            0.030465,            0.003466,            0.003466,            0.003466,             0.48552,             0.48187,             0.50659,             0.59726,              0.3271,              0.3765,             0.59822,             0.67857,             0.64434,             0.72572,             0.86825,             0.47077,             0.52361,             0.59914
                  35,            0.016593,            0.021214,            0.025893,             0.50415,             0.67097,             0.59586,             0.43504,            0.022126,            0.013742,            0.032208,            0.003268,            0.003268,            0.003268,             0.44381,             0.43504,              0.4575,             0.59741,             0.32296,             0.34306,              0.4455,             0.62599,             0.59586,             0.65414,             0.88747,             0.46752,             0.48035,              0.4597
                  36,            0.016351,            0.020732,            0.025785,             0.58784,             0.57501,             0.60921,             0.45197,            0.021439,            0.013596,            0.031649,             0.00307,             0.00307,             0.00307,             0.46649,             0.45197,             0.46071,             0.59445,             0.31242,             0.35756,             0.52017,             0.65256,             0.60921,             0.65502,             0.87475,             0.45428,             0.49846,             0.52017
                  37,            0.016315,            0.020495,            0.025557,             0.51659,             0.64942,             0.55418,             0.40371,            0.020723,            0.013575,            0.033675,            0.002872,            0.002872,            0.002872,             0.40412,             0.40371,             0.43177,             0.59127,             0.31914,             0.32636,             0.34957,             0.56867,             0.55418,             0.60701,             0.87275,             0.45368,             0.44497,             0.37801
                  38,            0.016334,            0.021108,            0.024963,             0.55132,             0.66487,             0.61771,             0.46171,             0.02213,            0.013726,            0.030493,            0.002674,            0.002674,            0.002674,             0.48047,             0.46171,             0.47529,             0.61088,             0.33736,             0.37833,             0.48794,             0.66367,             0.61771,             0.66733,              0.8814,             0.48152,             0.52275,             0.48961
                  39,            0.015821,            0.020252,            0.024014,             0.56515,             0.60983,              0.6059,             0.45208,            0.021425,            0.013484,             0.03048,            0.002476,            0.002476,            0.002476,             0.48247,             0.45208,             0.46094,             0.60904,             0.33404,              0.3575,             0.46851,             0.66199,              0.6059,             0.64445,             0.88156,             0.48072,             0.49817,             0.46851
                  40,            0.015865,            0.020664,            0.024103,             0.56466,             0.64755,             0.61062,             0.45845,            0.021401,             0.01351,            0.032211,            0.002278,            0.002278,            0.002278,             0.48806,             0.45845,             0.49714,             0.60516,              0.3032,             0.37588,             0.48125,             0.66481,             0.61062,              0.6948,             0.87434,             0.44167,             0.50685,             0.48125
                  41,            0.015609,            0.019825,            0.023567,             0.54781,             0.68908,              0.6347,             0.47729,             0.02228,            0.013393,            0.030284,             0.00208,             0.00208,             0.00208,             0.50021,             0.47729,             0.49971,             0.60607,              0.3309,             0.38706,              0.5398,             0.67909,              0.6347,             0.69947,              0.8824,             0.47386,             0.53359,              0.5398
                  42,            0.015435,            0.020881,            0.023226,              0.6392,             0.60998,             0.64355,             0.47482,            0.022017,             0.01343,            0.030197,            0.001882,            0.001882,            0.001882,             0.51459,             0.47482,             0.50697,             0.61199,             0.30661,             0.39769,             0.51106,             0.70847,             0.64355,             0.71021,             0.88609,             0.44642,             0.54444,             0.56571
                  43,            0.015153,            0.019957,            0.022257,             0.56297,             0.67306,             0.61755,             0.45976,            0.021139,            0.013528,            0.029774,            0.001684,            0.001684,            0.001684,             0.50148,             0.45976,             0.50243,              0.6189,             0.32038,             0.36611,             0.44929,             0.69371,             0.61755,             0.70989,             0.88118,             0.46241,             0.49432,             0.46378
                  44,            0.015188,            0.020801,            0.021827,               0.555,               0.672,             0.63955,             0.48248,            0.020031,            0.013451,            0.030262,            0.001486,            0.001486,            0.001486,             0.49445,             0.48248,             0.49881,             0.63151,             0.31746,             0.38891,             0.56376,             0.69049,             0.63955,             0.69774,             0.90079,             0.45775,              0.5268,             0.56376
                  45,             0.01469,            0.019922,            0.021785,             0.62579,             0.58398,             0.62672,             0.47308,            0.020485,            0.013391,            0.031144,            0.001288,            0.001288,            0.001288,             0.48435,             0.47308,             0.50152,             0.61964,             0.30465,             0.37076,             0.55757,             0.66462,             0.62672,             0.69559,             0.89534,             0.43648,             0.51073,             0.55757
                  46,            0.014694,             0.01973,            0.021512,             0.56769,             0.66453,             0.64664,             0.47899,             0.02129,            0.013381,            0.030671,             0.00109,             0.00109,             0.00109,             0.51494,             0.47899,             0.50093,             0.61403,             0.30954,             0.39076,             0.54377,              0.7071,             0.64664,             0.70004,             0.88586,             0.45024,             0.53677,             0.59981
                  47,            0.014357,            0.018421,            0.021698,             0.53566,             0.68231,              0.6056,             0.45276,            0.020769,            0.013284,            0.030908,            0.000892,            0.000892,            0.000892,             0.51067,             0.45276,             0.48176,             0.61738,             0.30442,             0.37619,             0.42613,             0.69681,              0.6056,             0.66664,             0.89028,             0.44083,             0.51291,             0.42613
                  48,            0.014751,            0.019489,            0.020868,             0.55875,             0.67188,              0.6357,             0.47548,            0.021304,            0.013426,            0.030732,            0.000694,            0.000694,            0.000694,             0.49964,             0.47548,             0.48238,              0.6148,             0.33555,             0.39782,             0.52267,             0.69518,              0.6357,              0.6739,             0.89484,             0.48136,             0.54627,             0.52267
                  49,            0.014436,            0.019134,            0.020602,             0.54724,             0.71379,             0.63985,             0.47713,            0.020997,            0.013425,            0.030871,            0.000496,            0.000496,            0.000496,             0.52005,             0.47713,             0.50694,             0.61544,             0.32032,             0.40624,             0.49379,             0.72792,             0.63985,             0.70058,             0.89759,             0.46609,             0.55087,             0.49605
