timestamp,person_id,dominant_emotion
2025-06-19 21:11:31,PLACEHOLDER,sad
2025-06-19 21:11:32,PLACEHOLDER,fear
2025-06-19 21:11:33,PLACEHOLDER,sad
2025-06-19 21:11:33,PLACEHOLDER,fear
2025-06-19 21:11:33,PLACEHOLDER,sad
2025-06-19 21:11:33,PLACEHOLDER,angry
2025-06-19 21:11:34,PLACEHOLDER,sad
2025-06-19 21:11:34,PLACEHOLDER,sad
2025-06-19 21:11:34,PLACEHOLDER,sad
2025-06-19 21:11:34,PLACEHOLDER,sad
2025-06-19 21:11:36,PLACEHOLDER,sad
2025-06-19 21:11:36,PLACEHOLDER,sad
2025-06-19 21:11:36,PLACEHOLDER,sad
2025-06-19 21:11:37,PLACEHOLDER,sad
2025-06-19 21:11:37,PLACEHOLDER,sad
2025-06-19 21:11:38,PLACEHOLDER,sad
2025-06-19 21:11:38,PLACEHOLDER,sad
2025-06-19 21:11:39,PLACEHOLDER,sad
2025-06-19 21:11:46,PLACEHOLDER,sad
2025-06-19 21:11:46,PLACEHOLDER,sad
2025-06-19 21:11:48,PLACEHOLDER,sad
2025-06-19 21:11:48,PLACEHOLDER,sad
2025-06-19 21:11:48,PLACEHOLDER,sad
2025-06-19 21:11:50,PLACEHOLDER,sad
2025-06-19 21:11:51,PLACEHOLDER,sad
2025-06-19 21:11:51,PLACEHOLDER,sad
2025-06-19 21:11:51,PLACEHOLDER,angry
2025-06-19 21:11:51,PLACEHOLDER,sad
2025-06-19 21:11:52,PLACEHOLDER,sad
2025-06-19 21:11:52,PLACEHOLDER,sad
2025-06-19 21:11:53,PLACEHOLDER,sad
2025-06-19 21:11:53,PLACEHOLDER,sad
2025-06-19 21:11:53,PLACEHOLDER,sad
2025-06-19 21:11:54,PLACEHOLDER,sad
2025-06-19 21:11:54,PLACEHOLDER,neutral
2025-06-19 21:11:55,PLACEHOLDER,surprise
2025-06-19 21:11:55,PLACEHOLDER,happy
2025-06-19 21:11:55,PLACEHOLDER,happy
2025-06-19 21:11:55,PLACEHOLDER,happy
2025-06-19 21:11:55,PLACEHOLDER,neutral
